Energy[keV], HPGe, LaBr3, Si(Li)
5722, 0.02754899712662802, 0.003044424798069582, 0.026606283004714352
5723, 0.027542772092036892, 0.003043768557603857, 0.026605992640374568
5724, 0.027536549045498376, 0.0030431125641316673, 0.026605702353991807
5725, 0.02753032798299542, 0.0030424568178531322, 0.026605412145531273
5726, 0.027524108904719787, 0.003041801318226737, 0.02660512201495818
5727, 0.027517891810161947, 0.003041146064932667, 0.026604831962237757
5728, 0.027511676696910823, 0.0030404910584256348, 0.026604541987335268
5729, 0.027505463568260825, 0.0030398362982309766, 0.026604252090216
5730, 0.027499252417498864, 0.0030391817843277154, 0.026603962270845247
5731, 0.02749304324801949, 0.0030385275165069354, 0.026603672529188337
5732, 0.027486836054714116, 0.0030378734947256376, 0.02660338286521061
5733, 0.027480630842175904, 0.0030372197185982936, 0.02660309327887744
5734, 0.027474427603199243, 0.003036566188082124, 0.026602803770154212
5735, 0.027468226339878055, 0.003035912903300018, 0.026602514339006338
5736, 0.027462027051007105, 0.0030352598637232294, 0.026602224985399246
5737, 0.027455829734183295, 0.0030346070694968605, 0.02660193570929839
5738, 0.0274496343902009, 0.003033954520456801, 0.02660164651066925
5739, 0.027443441018754896, 0.003033302216571467, 0.02660135738947732
5740, 0.02743724961684515, 0.0030326501570259387, 0.02660106834568812
5741, 0.027431060187062328, 0.003031998343112757, 0.026600779379267175
5742, 0.027424872720420948, 0.0030313467732009, 0.026600490490180064
5743, 0.027418687224202314, 0.003030695448097369, 0.026600201678392357
5744, 0.02741250369271641, 0.003030044367032112, 0.02659991294386967
5745, 0.027406322125063783, 0.0030293935301173693, 0.026599624286577615
5746, 0.027400142522040004, 0.003028742937299971, 0.026599335706481837
5747, 0.027393964886532427, 0.0030280925884937073, 0.026599047203548012
5748, 0.027387789210664724, 0.0030274424835793614, 0.02659875877774183
5749, 0.027381615495233727, 0.003026792622173511, 0.026598470429028992
5750, 0.0273754437409356, 0.0030261430044875113, 0.026598182157375232
5751, 0.027369273944681916, 0.0030254936299510256, 0.02659789396274631
5752, 0.027363106108563094, 0.0030248444989075278, 0.026597605845107997
5753, 0.02735694022789969, 0.0030241956109300226, 0.026597317804426084
5754, 0.027350776303090702, 0.0030235469658558343, 0.026597029840666385
5755, 0.027344614331947972, 0.00302289856372034, 0.026596741953794745
5756, 0.027338454318749646, 0.0030222504042180074, 0.026596454143777024
5757, 0.02733229625613585, 0.00302160248717544, 0.026596166410579093
5758, 0.02732614014828478, 0.003020954813034802, 0.026595878754166864
5759, 0.027319985989630338, 0.0030203073808973283, 0.026595591174506248
5760, 0.027313833781368063, 0.0030196601911942284, 0.026595303671563195
5761, 0.027307683521612384, 0.00301901324321406, 0.026595016245303665
5762, 0.027301535209770265, 0.00301836653745384, 0.026594728895693656
5763, 0.02729538884802927, 0.0030177200733122783, 0.02659444162269916
5764, 0.027289244428249745, 0.0030170738506605363, 0.02659415442628621
5765, 0.027283101955797768, 0.0030164278698197695, 0.026593867306420858
5766, 0.02727696142750019, 0.003015782130463511, 0.02659358026306917
5767, 0.027270822843063484, 0.0030151366319803438, 0.026593293296197237
5768, 0.027264686199714325, 0.0030144913749327695, 0.026593006405771173
5769, 0.027258551498350696, 0.0030138463588411614, 0.026592719591757113
5770, 0.02725241873818397, 0.0030132015838620603, 0.0265924328541212
5771, 0.027246287913271577, 0.0030125570493298665, 0.026592146192829624
5772, 0.027240159027982255, 0.0030119127552807774, 0.02659185960784857
5773, 0.0272340320856897, 0.003011268702068616, 0.02659157309914426
5774, 0.027227907070745752, 0.003010624888973512, 0.026591286666682923
5775, 0.027221783996631478, 0.0030099813157141854, 0.02659100031043083
5776, 0.02721566285394416, 0.003009337982951079, 0.02659071403035425
5777, 0.027209543648236335, 0.003008694890282314, 0.026590427826419485
5778, 0.027203426371101083, 0.0030080520372953775, 0.02659014169859286
5779, 0.02719731102551716, 0.003007409423610893, 0.02658985564684071
5780, 0.027191197612877575, 0.0030067670499436287, 0.02658956967112941
5781, 0.027185086127354124, 0.0030061249155422516, 0.026589283771425325
5782, 0.027178976568561712, 0.003005483020235531, 0.02658899794769487
5783, 0.027172868939377443, 0.003004841364344265, 0.02658871219990447
5784, 0.0271667632362514, 0.0030041999473146043, 0.026588426528020574
5785, 0.027160659460280588, 0.003003558769390799, 0.026588140932009636
5786, 0.02715455760475645, 0.003002917829899192, 0.026587855411838154
5787, 0.027148457677692174, 0.0030022771294554865, 0.02658756996747263
5788, 0.027142359666357314, 0.0030016366669931628, 0.02658728459887959
5789, 0.027136263580935828, 0.003000996443084207, 0.02658699930602559
5790, 0.027130169415909042, 0.003000356457808897, 0.026586714088877198
5791, 0.0271240771683285, 0.0029997167099705957, 0.026586428947401
5792, 0.027117986841265984, 0.0029990772005994088, 0.026586143881563603
5793, 0.02711189842911052, 0.0029984379286301433, 0.02658585889133165
5794, 0.027105811936412698, 0.0029977988948742974, 0.02658557397667179
5795, 0.027099727358057036, 0.0029971600983653545, 0.026585289137550688
5796, 0.02709364469415631, 0.002996521539761877, 0.026585004373935038
5797, 0.027087563942063624, 0.0029958832178908048, 0.02658471968579156
5798, 0.02708148510484839, 0.002995245133585022, 0.026584435073086988
5799, 0.027075408179075937, 0.002994607286260408, 0.026584150535788068
5800, 0.027069333163480848, 0.0029939696758779022, 0.02658386607386158
5801, 0.027063260055223214, 0.00299333230211531, 0.02658358168727432
5802, 0.027057188860127493, 0.002992695165097058, 0.0265832973759931
5803, 0.027051119571711135, 0.002992058265176017, 0.026583013139984762
5804, 0.027045052186547156, 0.0029914216008873054, 0.026582728979216156
5805, 0.02703898671075292, 0.0029907851735308786, 0.026582444893654168
5806, 0.027032923136081573, 0.0029901489814467067, 0.026582160883265687
5807, 0.027026861467370305, 0.002989513025966977, 0.026581876948017634
5808, 0.02702080170325865, 0.002988877306508978, 0.026581593087876946
5809, 0.027014743841207688, 0.002988241822794851, 0.02658130930281058
5810, 0.027008687878090888, 0.0029876065746664935, 0.026581025592785516
5811, 0.02700263381579418, 0.0029869715615855755, 0.026580741957768758
